,branchNumber,type,openDate,id,iban,balance,currency,cust_id
0,1416,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_1894a538-7776-41ca-88b6-ffea5d2d50cf,,447.56,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_c418b5e6-ef7a-4774-88bc-762f2e9adc53
1,1416,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_e4d4cce1-42fc-48aa-b0bb-37417a4c21a1,,4592.68,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_c418b5e6-ef7a-4774-88bc-762f2e9adc53
2,324,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_b4c1aad5-d0e3-4f1f-9c67-7af7e20e806f,,4132.75,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_be23d561-0198-4876-9d23-2a5e67bad5ff
3,324,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_f71001df-bdff-4524-b5d2-fcbda29a2442,,2110.26,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_be23d561-0198-4876-9d23-2a5e67bad5ff
4,1728,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_ec10146d-2e10-4bdc-b661-f5617dd3f79a,,16981.85,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_9ed43d58-216e-4c1a-90d2-421605f87a26
5,1728,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_afcd4583-4f9c-429d-a411-021bbb46888e,,15830.34,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_9ed43d58-216e-4c1a-90d2-421605f87a26
6,1592,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_a0f5f8bd-da1e-410b-9e95-500ad7d5fa70,,6.02,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_a9ea9582-f708-40f6-92b2-36e945de04c7
7,1592,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_9f5c8220-86cc-484e-87b3-1bebb680b9fe,,122.88,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_a9ea9582-f708-40f6-92b2-36e945de04c7
8,1304,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_3452c2f0-bcce-4988-a66c-ea7850cb2564,,36.18,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_10a0a93d-22c4-4948-a61c-f5a578ccc7d4
9,1304,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_5a8d81ad-9165-436a-9e78-10eea3938823,,0.0,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_10a0a93d-22c4-4948-a61c-f5a578ccc7d4
10,392,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_1f899a25-2906-44b3-ab9d-6d57566f6678,,19464.69,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_14c9b804-a48e-47b0-a5c2-15a453ead463
11,392,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_08a9572f-b2b2-4652-8828-2a1c22040e69,,20932.2,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_14c9b804-a48e-47b0-a5c2-15a453ead463
12,392,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_e17388e9-900e-45e7-98ea-bd2e9c9f0e1f,,11100.86,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_7e2ad2e6-5f8f-4ebb-a752-a5cc7d32b622
13,392,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_0a1d3085-28fa-45ee-8938-b1c41510a7df,,5873.44,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_7e2ad2e6-5f8f-4ebb-a752-a5cc7d32b622
14,235,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_c065a58f-9ca8-42b1-9693-32cecc6b84fb,,45.33,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_cd93376e-dc8a-4b7d-9a75-098340c7774f
15,235,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_9f69295f-3fb2-436a-b3ec-feb705abcb85,,37.28,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_cd93376e-dc8a-4b7d-9a75-098340c7774f
16,1857,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_9f34e6db-3648-4842-bd68-ed59f396d8a0,,13116.61,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_b44e23e6-0c01-4c74-a648-f1d471f517fb
17,1857,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_94a9df61-d2a2-40aa-9b28-4800c725ace1,,15957.28,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_b44e23e6-0c01-4c74-a648-f1d471f517fb
18,571,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_8ee15057-afa9-4eb9-b816-aba4470063d7,,19606.83,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_f4b57c98-76c6-4ec0-8ce1-a8d11dd643da
19,571,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_3f748e38-f3c9-4af5-850c-fdf790c08199,,17273.82,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_f4b57c98-76c6-4ec0-8ce1-a8d11dd643da
20,571,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_a2e186ba-54ea-4eba-b871-f8ffaa032dff,,25472.37,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_f408d2b1-8d2b-4c69-a6d4-3e8245232c33
21,571,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_8272033d-2ae8-4970-9ddb-f5982e229e29,,22619.02,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_f408d2b1-8d2b-4c69-a6d4-3e8245232c33
22,331,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_c6fbcacd-4b21-4979-9af1-441e10f3a9a5,,0.0,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_1ffe9c99-d76e-4e6f-8f05-198145761314
23,331,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_e248bd1a-e56f-4805-8ed9-bee36d56e93b,,0.0,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_1ffe9c99-d76e-4e6f-8f05-198145761314
24,320,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_d4b8161e-5cb5-463d-8acc-6a9fa1ab077c,,9161.29,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_3434d943-da04-425a-bd19-362f36d2f550
25,320,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_f0786bbd-ac18-42e3-af5a-097d146c9114,,10988.4,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_3434d943-da04-425a-bd19-362f36d2f550
26,320,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_8ec7b201-da11-44c4-8bfd-a057e24c0202,,34.94,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_6ea64765-c0d8-4812-993e-56cbbef59a7a
27,320,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_7d545cc8-dd3a-448b-8c1d-be5543c6f852,,149.24,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_6ea64765-c0d8-4812-993e-56cbbef59a7a
28,330,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_eccc1014-8743-4fed-a3d3-0abbf1aee6ff,,2030.9,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_7142621b-c55d-4646-8373-27a570e478d5
29,330,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_fe219ffc-f829-416c-b1e1-14db0ff22546,,7129.3,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_7142621b-c55d-4646-8373-27a570e478d5
30,328,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_3eda5f4a-75d5-4fea-b848-0c44e62c2b08,,12654.55,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_4b4b3ff8-b1bb-4b47-af70-7f575cd0763f
31,328,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_b4831fdc-a85f-485b-a5ff-9b78627680d2,,6495.82,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_4b4b3ff8-b1bb-4b47-af70-7f575cd0763f
32,12082,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_68636432-ac9e-42d6-8427-cce15ed179e3,,1973.27,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_bc760743-fc0b-4e3d-9499-662ec986c787
33,12082,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_fd26aed3-cdf1-4a26-9546-0f2975338329,,3531.92,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_bc760743-fc0b-4e3d-9499-662ec986c787
34,607,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_cb7e5f55-7d62-4a70-8d66-fb40747150c6,,18654.18,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_c825d1e8-81e3-46b8-a6df-1e4f73e36b31
35,607,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_fdb05d00-8aba-46f6-959d-a84a9a5ed545,,12683.02,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_c825d1e8-81e3-46b8-a6df-1e4f73e36b31
36,1440,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_3cfe0981-244f-44b9-8c47-477a106751d2,,11884.7,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_566bcebf-7b6f-4099-abc8-c44518cac243
37,1440,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_6dad4bfd-c46a-40ab-ac06-a0c9a1b807d6,,17069.2,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_566bcebf-7b6f-4099-abc8-c44518cac243
38,1592,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_70962c33-2a70-4b52-8533-b41c9bca1a10,,0.0,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_a068608b-234d-4a06-bdd7-7da8a89ac315
